"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Comentarios negativos de los usuarios: Ocultar todo","CPM del anuncio (USD)","Impresiones del anuncio"
814809280439854,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Torneo alumnos vs maestros 12 de oct:
https://forms.gle/HowJ4cjytWLQZwbe6
¡Te invitamos a participar!",0,"10/11/2023 11:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid031X4hQZbUhe6WTvFWcfP9aAnQK9WQxS7eUdzXZctL8AGQoPDMvdjo1WzcPP7CHbgvl,0,0,Foto,,,,,Total,2430,2255,1,1,0,0,27,11,7,9,,,
814817633772352,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/11/2023 11:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid021utdKNsdzxRS3pUxVDTFiBKZqfsCN58iLRYfSMHfa2eZdKaJzGNaUE6ijS4YU9Q5l,0,0,Foto,,,,,Total,3096,2685,8,8,0,0,237,198,39,,,,
815063853747730,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"A toda nuestra comunidad de ingeniería les agradecemos por ser parte del primer día de celebración del 56vo aniversario de la Facultad de Ingeniería Campus Mexicali.

Estudiantes, docentes, administrativos, representantes de la industria y autoridades se reunieron este 10 de octubre en reconocimiento del gran recorrido que nuestra Facultad ha llevado en el transcurso de los años. Agradecemos a los representantes de la industria por ser parte de la ceremonia y por continuar impulsando a nuestr@s estudiant@s a un mejor futuro profesional y a los subdirectores de gestiones anteriores que participaron en la celebración, rememorando sus pasos en esta institución y los frutos de sus esfuerzos, incluyendo la honrosa presencia de la familia del subdirector fundador de la FIM, Ing. Gabriel Navarro Cuevas, descanse en paz.

Desde 1967, la Facultad de Ingeniería a marcado su historia en la sociedad bajacaliforniana de manera positiva gracias a las investigaciones, desarrollo e implementación de tecnologías dentro de nuestro estado. 56 años después, con una población estudiantil de 4661 estudiantes y 398 docentes dentro de 12 programas educativos, tronco común y posgrado, nos mantenemos en un presente lleno de esperanza por el progreso y desarrollo y con un futuro lleno de emoción y expectativa.

¡Gracias por formar parte de este festejo, Cimarron@s!",0,"10/11/2023 22:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02QMEnpNJ6T9j3zeRSvXtGYjU31dA3WoijD9dwdt1WxRmBkDwZnJMy1mVTZyBCK1D5l,0,0,Foto,,,,,Total,8101,6868,84,82,0,2,1009,275,734,,,,
815383913715724,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/12/2023 08:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0F5GebFNSjmPM5kSx8WDPVX7sP52cnRWPMb48Ktf9mC1qtLzahUoHdCZ69fo25cSBl,0,0,Foto,,,,,Total,2262,2113,8,7,0,1,12,6,6,,,,
815398423714273,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/12/2023 09:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02zYVcYpHKeFY8CfnvSpPB5qQywPBYRQPbdcfh7WKFFRzd4XkaSAoPgktMafuSmy1Sl,0,0,Foto,,,,,Total,2406,2196,23,21,0,2,28,15,13,,,,
815400250380757,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/12/2023 09:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid032dVthNXcGzLfr6XF9NwRutAcN2zaM1pmcLAuTtvBG4ozBwbauD7L18ptTBbMWHMKl,0,0,Foto,,,,,Total,2473,2057,3,3,0,0,56,42,14,,,,
816023880318394,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/13/2023 09:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0m6Wv2as6fPBj67XxQe4bSyfdDcUYH3R2tZzBfB6T2hqMAd9gKPGW3Gu4mt1ZRMCql,0,0,Foto,,,,,Total,2942,2545,3,3,0,0,161,144,17,,,,
816024180318364,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/13/2023 09:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0YpBuV7JFzacYHQjSamjCi8hfVggwRhjSECRwoCz2BpejGaj2NkrXSNbUurREAcql,0,0,Foto,,,,,Total,2492,2181,5,4,0,1,50,36,14,,,,
818011873452928,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"10/16/2023 10:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0arQwa578LDVH4C47eer8UEHyCiPsUfYJmAgcq4y5KucNFQ5uWdK1i6DdSCgqcdb3l,0,1,Foto,,,,,Total,4991,4754,69,68,0,1,967,725,242,,,,
818034643450651,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/16/2023 11:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02eC9jCP79puDfsST4b3ya8f4nFv3SBDMuLc4mZBrXbFrVr1Np27U3TspD8emMncTil,0,0,Foto,,,,,Total,2674,2354,23,19,1,3,81,60,21,,,,
809980887589360,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/02/2023 17:10",N/A,https://www.facebook.com/photo.php?fbid=809980887589360&set=a.560878725832912&type=3,0,0,Foto,,,,,Total,2675,2421,50,49,0,1,61,5,56,,,,
810344967552952,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada comunidad FIM:
Como parte de las celebraciones del 56 aniversario de la Facultad de Ingeniería, te invitamos a participar en las actividades que se han programado con motivo de este significativo acontecimiento. Los esperamos en la ceremonia de inauguración el  martes 10 de octubre en punto de las 9:30 am en la explanada central de la FIM, para dar inicio a las actividades, contaremos con música en vivo y los tradicionales pastelitos de aniversario. 
¡Felicidades a toda la comunidad por estos 56 años!",0,"10/03/2023 09:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid021h1C9TpETEZ4SQJykNKULPb3xnAZSihBXgo76CHGq2uQRb2gk7dTMXpLP3n4WfUgl,0,0,Foto,,,,,Total,4623,4082,45,38,0,7,519,465,54,,,,
