"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Comentarios negativos de los usuarios: Ocultar todo","Comentarios negativos de los usuarios: Ocultar",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Impresiones del anuncio","Ingresos estimados (USD)"
803321424921973,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"09/20/2023 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0iucbD5rytnoQDnUcjLm2KKkehJd7i8Lfmy9WXB9VTPSfARd9vux6fWmLiwPacf4ql,0,1,Foto,,,,,Total,6397,6025,112,105,5,2,754,99,655,,,,,,,,
803334994920616,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El programa educativo en Licenciatura en Sistemas Computacionales y el Subcomité Académico por Campo de Conocimiento de Computación del programa de Maestría y Doctorado en Ciencias e Ingeniería (MyDCI) los invitamos al Seminario Semestral Píldoras i+D con la conferencia:
""GPT: Alcances y riesgos"" con la participación del M.C. Antonio de Jesús García Chávez quien es estudiante de Doctorado del MyDCI en UABC Ensenada

Fecha y hora: 22 de septiembre de 12:00 a 13:00 hrs (PST)
Nota: Asistir al Seminario Semestral Píldoras i+D te permite obtener créditos (3 conferencias = 1 CR)
Transmisión en línea desde los siguientes enlaces:
meet.google.com/vzi-bpri-udh
facebok.com/LSC.FIM.UABC",0,"09/20/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02qAQhR8C8WUoNVnt2i6pvNNVdRd6XdKT7yYsFJBB2hFuK4tdnAQiwFjaJRqRumePcl,0,0,Foto,,,,,Total,2415,2187,3,3,0,0,40,17,14,9,,,,,,,
803780638209385,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/21/2023 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0UsnD7ZwMr4P6CaBCEjgsijCw9naJc3MdkBmjHxL4zwW75RgGUy5SFnT5jNhJ8iTsl,0,0,Foto,,,,,Total,2470,2273,6,6,0,0,34,20,14,,,,,,,,
803798968207552,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/21/2023 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0QULYjXcWPbKcwiV9iGg2JtoGxDJh2TtfSU1rfbx4ryywxJBx9tdEcwzvgi1tDRUpl,0,0,Foto,,,,,Total,7693,5437,37,17,2,18,88,57,31,,,,,,,,
803915388195910,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy inauguramos el 14vo Ciclo de Conferencias de ""Jueves de Ciencia"" Edición 2023-2, una de las mejores tradiciones de la Facultad de Ingeniería campus Mexicali donde académicos, ponentes e invitados nacionales e internacionales exponen sus investigaciones y proyectos de carácter científico, académico y en las disciplinas de la ingeniería.

Agradecemos a las autoridades institucionales y académicas que se hicieron presentes en la ceremonia celebrando la inauguración incluyendo nuestra Directora, Dra. Araceli Celina Justo Lopez, y a la Coordinadora de Investigación y Posgrado, Dra. Wendy Flores Fuentes, al darnos sus palabras de gran inspiración.

Felicitamos al Dr. Marco A. Montoya A. y al Dr. Alejandro Sánchez A , al ser la primera conferencia del ciclo y presentar la conferencia: Investigación para la mejora de la infraestructura de transporte y la movilidad urbana.

¡Nos vemos en este siguiente Jueves de Ciencia!
#SomosFIM",0,"09/21/2023 20:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02D3m1DxNnNytaxDM1X4yMf1wwn9odCpa42zErVC5mweJxoairWfWbq2bUTG9Eiv8Ml,0,0,Foto,,,,,Total,6931,6099,161,147,11,3,1390,993,397,,,,,,,,
804214991499283,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"09/22/2023 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0D1o3oXh16j6TmGW2dYp5kJzUojKEE57vLF1z5uNtCdFCE68TUXrPYam9jKKdeqc8l,0,1,Foto,,,,,Total,5059,4664,11,11,0,0,1523,1016,507,,,,,,,,
332824175797740,422553107793433,"Facultad de Ingeniería UABC Mexicali","Podcast - Hablemos entre Cimarron@s - EP1","¿Alguna vez te haz preguntado qué es la inteligencia emocional y cómo podemos aplicarla en nuestro éxito profesional? Si es así, te invitamos a escucharnos.",2495,"09/22/2023 12:09",uploaded,https://www.facebook.com/fimuabc/videos/332824175797740/,0,0,"Video en vivo",,,,,Total,,2819,89,68,7,14,,,,,,,,80802.603,20.025,,0
805444588042990,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","Agradecemos a la Dra. Karla Velazquez Victorica, MiniLabs Robotics y al Instituto Patria del Noroeste, A.C. por los esfuerzos que han hecho posible la impartición del proyecto de investigación: Programa para la integración de herramientas STEAM en el entorno educativo para mejorar el aprendizaje de las matemáticas con niveles previos.

¡Sigamos adelante!
#SomosFim",0,"09/24/2023 11:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02iLrGu4YRxJKbTJJ9ftC1RncsNpenqbmTk5XpYJJTNSBnRTTvR4GnV42Ve1qbrXYGl,0,1,Foto,,,,,Total,4195,3907,27,25,0,2,475,331,139,5,,,,,,,
806661614587954,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Del 5 al 8 de septiembre se realizó el XXIX Congreso Internacional de Ergonomia SEMAC realizado en Cd. Juárez, Chihuahua. 

Se contó con la asistencia de los profesores al congreso MC. Rigoberto Zamora Alarcón y el Dr. Carlos Raúl Navarro González.

El congreso fue en modalidad HÍBRIDA (virtual / presencial)
 24 estudiantes participaron en el congreso de manera presencial y 19 en modalidad virtual, de 3 programas educativos, Industrial, Mecánica y Mecatrónica. 

¡Felicidades por los aprendizajes adquiridos en tan importante evento!",0,"09/26/2023 17:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0yNM7iLb1w7vqsqm7vP9fP1H3pUcZY2qbTx1wVRTuuwcKZf8Ho1H4C1eXVUkbZRkkl,0,0,Foto,,,,,Total,2493,2184,12,12,0,0,139,106,33,,,,,,,,
806662337921215,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/26/2023 17:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0ZzBDUqvoH8gjBUWaomk3VMMy8PXbbSgCdC3Ky6rUZodPNDHQWj3YLsiiFNZXqxFul,0,0,Foto,,,,,Total,2646,2335,7,6,0,1,178,165,13,,,,,,,,
807084387879010,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La Facultad de Ingeniería campus Mexicali se enorgullece de extender su más grata felicitación a los cimarrones ganadores del DINÁMICAS TÉCNICAS ETAPA REGIONAL NORTE llevada a cabo por la Asociación Mexicana de Hidráulica A.C.  el pasado 23 de septiembre en el III Foro Juvenil Hídrico Internacional 2023  dentro de los siguientes eventos:

🥇1er. Lugar en el VI Concurso de Maquetas de Modelos Hidráulicos:
- Pablo Alberto Luna Bello
-Noemi Beltrán Martínez
-Iván Roberto Calderón
-Ana Cristina Lizárraga Caballero
-Ángel Alberto Terrazas Guevarra

🥈2do. Lugar en el V Concurso de Fotografía del Agua:
-Alicia Yesenia Gonzáles Espinoza

En nuestra universidad los esfuerzos constantes de las nuevas generaciones por impulsar el desarrollo social y la innovación son aquellos los que continúan elevando a nuestra universidad como la más reconocida en prestigio y calidad en la región noroeste del país.",0,"09/27/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0GCUA8EwtyQPfRjJ9tARreYRN5YDNv64LdJT4EA4Sn46sUZdRAzwz9cZMpMZws4yMl,0,0,Foto,,,,,Total,6266,5489,265,214,44,7,1212,882,330,,,1,,,,,
807365564517559,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este martes 26 de septiembre se dió inicio a ""Jornada de la Salud 2023: Salud Mental y Autocuidado"", dónde se profundizarán temas de alta importancia para la juventud de cimarrones en formación y desarrollo de habilidades emocionales para el crecimiento personal y profesional. Agradecemos al departamento de Orientación Educativa y Psicopedagógica en conjunto de la Psic. Karla Elizabeth Radillo Jiménez por coordinar los esfuerzos haciendo realidad estos eventos y anuestra Directora, Dra. Araceli Celina Justo López, por realizar la ceremonia de Inauguración y dar comienzo a esta campaña de crecimiento personal.

Te invitamos este jueves 28 a continuar asistiendo a las conferencias con valor en créditos optativos. ¡No olvides tu carnet de sellos! Recuerda que 8 sellos es igual a 1 crédito.",0,"09/27/2023 20:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02KyDUQxnK4iyEi9SSViwHFWyTiFsdqjUzmw5yTUr154PtivXq8auooitHwBFGnqefl,0,0,Foto,,,,,Total,2834,2549,4,4,0,0,334,244,90,,,,,,,,
807693881151394,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2023 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02xDwtw8Syth7ZWffpKrmTfjBQAgc5L372eFJLvDiQ9xVU6kr6cZ6brd6cCX8Q9gdul,0,0,Foto,,,,,Total,5304,4408,169,143,11,15,319,213,106,,,,,,,,
808260681094714,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Campaña ÚNETE UABC 2023 
""16 días de activismo contra la violencia de género""
Registro taller dirigido a estudiantes: https://forms.gle/d7Re3bCpdqyDjRLP8
Registro taller dirigido a docentes: https://forms.gle/DJgWpB49v2k24qyH9",0,"09/29/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0cZ2iF5dceXarojbFPsgCep9d8ryQSuvXr9UxmV2AfXSbRYfRqxpdourBAmm5HCGNl,0,0,Foto,,,,,Total,1262,1096,1,1,0,0,20,18,,2,,,,,,,
808260857761363,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02FkhEKBvvSjF1DYK5seDyHNgQoisjGbxjdhktyb6778t2NitapDNyssJveahFYjQel,0,0,Foto,,,,,Total,2710,2369,20,15,1,4,91,65,25,1,,,,,,,
808262387761210,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Kmy3z63XSb9yGUSJ1koMDH7R1xqAW5HP52DSRTgU2xMcNigs79YLco3obkMrLPysl,0,0,Foto,,,,,Total,2630,1985,24,15,2,7,48,41,7,,,,,,,,
808323371088445,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡El #RALLYDEINNOVACIÓN está a la vuelta! La competencia más grande de #AméricaLatina para universitarios.
FACULTAD DE INGENIERÍA , Sede del Rally Latinoamericano de Innovación  2023!!! 6 y 7 de Octubre !!!
28 horas consecutivas de soluciones creativas para problemas de la región, interacción entre #EstudiantesLatinos y diversión asegurada. 🙌🏽
Las inscripciones de participantes están abiertas 🎉, no te quedes afuera de este increíble evento. Integra tu equipo y participa !!!!

Si estás interesado registrate !!!! https://forms.gle/vRTvUWLEZgspAf386

Para mayores informes vianney.linares@uabc.edu.mx",0,"09/29/2023 11:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02aT9g8SosKFgMzNqDMhFTbAqXzmD2qQwZanV3xUVE5JUp9MwRioFgxeVZw7HTZ8NKl,0,0,Foto,,,,,Total,1594,1335,3,3,0,0,28,19,7,2,,,,,,,
808374924416623,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2023 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0gxFhriSvFNhh314HSDoJmVjwoYSwaNyV8B3QY1eae7gLs1b9N41wBsjWc8bPMuY5l,0,0,Foto,,,,,Total,2340,2074,12,11,0,1,62,48,14,,,,,,,,
808375147749934,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2023 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02gkts9BR6RdqHtNbMFmB2D8SvLAXsKadbDeA3eCNpcGFpMarYTi5jVkJw5xVvhigLl,0,0,Foto,,,,,Total,6824,6525,245,219,25,1,635,87,548,,,,,,,,
808860831034699,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","El Dr. Miguel Ángel Martínez R. siempre tendrá las puertas abiertas a nuestra Facultad, sus efectos en la comunidad estudiantil, colegas investigadores, docentes y administrativos recordarán sus grandes esfuerzos y entrega que realizó por más de 3 décadas de labor.

¡FELICIDADES Y ENHORABUENA POR SU NUEVA ETAPA DE VIDA EN SU JUBILACIÓN! 💚💛
#SOMOSFIM",0,"09/30/2023 12:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02gknZCDJRLchfzF9bAaZHywLcE7ZnXqkXdtF6uxw4di5QvdyJCJeYYxUmJJ2rQC7Rl,0,1,Foto,,,,,Total,6482,6117,100,92,8,0,2152,1559,593,,,,,,,,
808937501027032,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","Agradecemos a la Facultad de Pedagogía e Innovación Educativa UABC en su impartición el Programa de Acompañamiento Estudiantil por las actividades de intervención en nuestra comunidad estudiantil.

¡Sigamos adelante en el apoyo y colaboración a nuestros cimarrones en formación profesional!
#SomosFim",0,"09/30/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02bkqHr8UnWomj7rmxKeCnNaHaoSPbvckiKVM32rESYS5KA8ccx3MKjf2iwYEepBRrl,0,1,Foto,,,,,Total,4108,3708,16,15,1,0,751,525,226,,,,,,,,
759341982653251,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"07/01/2023 13:07",N/A,https://www.facebook.com/fimuabc/posts/pfbid02nhEaZRjbQzyXDVhCS8187CciW2sGCzvibibQrrpQ3y4qppa5fcEsq2g3iE62v23fl,0,0,Foto,,,,,Total,15359,12916,791,600,127,64,1395,205,1190,,,,,,,,
759973055923477,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"07/02/2023 13:07",N/A,https://www.facebook.com/fimuabc/posts/pfbid0wQzEMyAxHbf3oXPnSE9AwYjv9xe6hAczC1yJNxauvepT4vsD3vPNYyeFjXDq6xYMl,0,0,Foto,,,,,Total,3788,2855,17,17,0,0,17,7,10,,,,,,,,
798505525403563,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/12/2023 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0e5VQKEy4dS8eELuhqNxuNBKt6qZ1xZf7JJSEzvA5EwKUSsC3gusSmawhNX3svX1Kl,0,0,Foto,,,,,Total,1321,1098,1,0,1,0,1,1,,,,,,,,,
799237341997048,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/13/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Fm2D2ZZ9PmHZbkgcXuBwCvTxwT3VQ8s69DyfGDzLitf9fPnqEMbUJPaqkJt1xqNPl,0,0,Foto,,,,,Total,2735,2484,9,8,1,0,126,102,24,,,,,,,,
799308398656609,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/13/2023 19:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02LUbLxFAaxTRGNhiwgijuXLiEKMjUrSLEYxnf4M6WmQfLh3HApHhSHN4h3D8vCD8Hl,0,0,Foto,,,,,Total,9032,8160,448,364,63,21,1066,166,900,,,,,,,,
799758321944950,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/14/2023 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0kBLAbtJrYaPVjtU7ifa95QNkkrvyo6Xuc9hFMicibTz2kwHUm6ZzKeEX4pKXCLqGl,0,0,Foto,,,,,Total,4318,3808,23,21,2,0,586,487,99,,,,,,,,
779676190619830,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,67,"08/07/2023 16:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid02tAbizNzfFoNTfYJhRg5mfMrQdmBVBARVWBwdxuefLwax1mLHLhChet5wL5jaMh2gl,0,1,Video,,,,,Total,1332,1162,5,5,0,0,5,,5,,,,,,,,
780066557247460,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/08/2023 10:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0gRTTuZcUSukHMvSK6UrP8KJA4PPvbCTuHXGv1y55DZRvWJogqWCg6wxcTfaBFqMdl,0,0,Foto,,,,,Total,3056,2796,45,42,0,3,50,11,39,,,,,,,,
780108637243252,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Nos enorgullece felicitar a los 11 estudiantes seleccionados para ser parte del Programa de Educación DUAL 2023-2!🎉🎉🎉

De este modo 4 estudiantes de Licenciatura en Sistemas Computacionales, 6 de Ingeniería Industrial y 1 de Ingeniería Aeroespacial, desarrollarán las competencias y habilidades por medio del desarrollo de proyectos de alto impacto en colaboración con profesionales de la industria.

Agradecemos a nuestros colaboradores por impulsar a las nuevas generaciones de ingenieros cimarrones. 💚💛
#SOMOSFIM",0,"08/08/2023 12:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid04PPonuVfJzFdxDyRis3RdycdVfLQBQBiC6aXxb5sAXaT18JNVmNmEuJXyz2ur9EVl,0,0,Foto,,,,,Total,4577,3975,53,50,1,2,281,81,200,,,,,,,,
780196430567806,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/08/2023 16:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0CV77oLyEPa1ABW4tAiJpKeqBg4cGL4n6QWCehDLNKWBqSvEEfcf4qHzqGxPtyxNWl,0,0,Foto,,,,,Total,6202,5562,22,15,4,3,1160,998,162,,,,,,,,
780648723855910,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"08/09/2023 11:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0ZdkitwnwgCRoVJeabpre9EuRticUjZfdUkN1fGL8HexS9RWPehpUzy4M9JtbM1n7l,0,1,Foto,,,,,Total,1576,1380,5,4,0,1,17,8,9,,,,,,,,
781122267141889,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 08:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid02V9cday7csMk9dFGj3MuMumpdSyceH6P6DTkWMqUS66u6TTmGpE3QBo4aR5rWdMy4l,0,0,Foto,,,,,Total,3480,2835,20,14,0,6,84,65,19,,,,,,,,
781122557141860,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 08:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid033wQ9kE4yVcYZR61ZJPgc5Syj17UjW784mE5g31Lv6BHsiZDsQ9fdvReD3V6YnnVSl,0,0,Foto,,,,,Total,1930,1691,4,3,0,1,70,64,6,,,,,,,,
781122730475176,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 08:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid08iuSPeedLvvTTysfocT1fvHpMuH3gwdAK1qyhZMjqsbGK53NXoyhB2NAf2AQErhdl,0,0,Foto,,,,,Total,1756,1474,3,2,0,1,18,16,2,,,,,,,,
781181580469291,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 11:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0fd9mbdc2pVX84g1eeJHQ5ZYTrmy2LMNEcWJZu27cicwDADmjyVy7ZnkzdR7Z8uzMl,0,0,Foto,,,,,Total,2957,2504,16,12,1,3,65,40,25,,,,,,,,
781181783802604,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 11:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid033V5b49YBv97bk3BQcs1FpLBscwHJw1NEuKbuLVUtbP5KcvWHBFRZVR1Qc4hqTEJnl,0,0,Foto,,,,,Total,2172,1895,8,6,0,2,11,3,8,,,,,,,,
781182077135908,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/10/2023 11:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0R3yW5BiCAfEJHvGQg7biJYZVHNodcBeDPuexwvzpmb9ZmeZCKnNr4bCgPa5yGep2l,0,0,Foto,,,,,Total,2415,1959,11,9,0,2,21,14,7,,,,,,,,
783175816936534,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"08/14/2023 08:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid0HS7PFC43z3udqSDRQ7PVA8uEUdLqjJJ8z7opwuiVv7jYB2LwiNr7DzbcYMcNQTB8l,0,1,Foto,,,,,Total,1670,1487,3,3,0,0,5,3,2,,,,,,,,
783185473602235,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"08/14/2023 09:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid02hNHAc5bB4L1jGA4Y6GJpfdGaYQDjQjzMutD5AjTgQH14hKcks1zPA6fGafwErfHKl,0,0,Foto,,,,,Total,1855,1695,2,2,0,0,21,15,6,,,,,,,,
783260490261400,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los horarios de asesorías académicas ya se encuentran disponibles. ¡Consulta y asiste!
¡Te esperamos!",0,"08/14/2023 12:08",N/A,https://www.facebook.com/fimuabc/posts/pfbid02EpR7dEBqCyKs1aMxXdvzUptGAxDwf3K4YyT4Mf7HKvou7yXXmEtUghzt17egcyJYl,0,0,Foto,,,,,Total,3645,3058,31,23,0,8,98,54,44,,,,,,,,
