"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
636166454970805,422553107793433,"Facultad de Ingeniería UABC Mexicali","UABC Junta de Gobierno","La Junta de Gobierno de la UABC invita a la comunidad universitaria a seguir en vivo la sesión en la cual se realizará el nombramiento de Rector o Rectora 2023-2027.

Fecha: viernes 16 de diciembre 2022

Hora: 11:30 horas

Siga la sesión en vivo por el canal de imagen UABC tv: http://imagentv.uabc.mx/

 

Participantes y planes de trabajo: http://web.uabc.mx/juntadegobierno/",0,"12/16/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0rgsSxWRjvKivFcCpea9r9VoNUDUwptj16oH83sWVeZKRCwyffvevBaTa5BEAwHMBl,0,0,Enlace,,,,,Total,2239,1668,0,0,0,0,,5,,,5,,,,,,
635317608389023,422553107793433,"Facultad de Ingeniería UABC Mexicali","VIDEO NAVIDEÑO FIM-UABC","https://www.youtube.com/watch?v=DTlUU6HFBYA

¡ Felices Fiestas !",0,"12/15/2022 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02dQW1kRzFvoE7YawnhQti7dv4yz9cstZPJR9kpjJWuGQk2kPeiHP6mWLhyi6sAX7ol,0,0,Enlace,,,,,Total,3125,2350,12,12,0,0,1,77,7,,70,,,,,,
635294941724623,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Alumnos de la FIM:  por indicaciones del Departamento de Servicios Estudiantiles y Gestión Escolar, hacemos de su conocimiento que podrán pagar sus extraordinarios del 2 al 4 de enero.
Gracias.",0,"12/15/2022 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02KLrBwUTMvDWagS5ciHWBWZEDkNtG3Ff9vwUfxRzCxV2txKXr3YtAdFXjK3ErNe5Ul,0,0,Texto,,,,,Total,4063,2867,11,6,1,4,,85,85,,,,,,,,
635219418398842,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid0fGYVJDzzZLbchxV4Si3WnMp6gTsEPT75yUPto1JtR4hEnpuGiKhCKuPkgVm4tCL4l&id=100064645961203&mibextid=Nif5oz,0,"12/15/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid03mFC5pgG2EVVP8ysT29NPnx9GpZsiw5oEpXV5VuW7g8xMgozPdLhVwbKSgv1EtEJl,0,1,Foto,,,,,Total,2999,2316,6,6,0,0,,121,36,82,3,,,,,,
635217118399072,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","¡Muchas Felicidades! 
#orgullocimarron",0,"12/15/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0htCmXbeV2N49SudtVdnkertcoRzc6oCs8KDWiUM7GEksW1b7FRGHtNq6mXHBJYETl,0,1,Foto,,,,,Total,6968,6023,150,142,6,2,,948,805,143,,,,,,,
634381498482634,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy en punto de las 10:00 a.m. en el aula magna de la Facultad de Ingeniería se realizó el Segundo Informe de actividades de la Dra. Araceli Celina Justo López, Directora de la Facultad de Ingeniería , estuvieron presentes la Dra. Gisela Montero Alpírez Vicerrectora Campus Mexicali, en representación del presidente de la junta de gobierno Dr. Gabriel Estrella el Dr. Benjamín Valdez Salas miembro de la junta de gobierno, Subdirectora M.C. Gloria Etelbina Chávez Valenzuela, Administradora M.C. Johanna Pamela Morales Bustamante, Directores de otras unidades académicas, Funcionarios, Jefes de Departamento del Campus Mexicali, Coordinadores de Área, Responsables de Programas Educativos, docentes, estudiantes y personal administrativo. 
¡Muchas Felicidades!",0,"12/14/2022 13:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02bk4xAiCN1uAPCX6badrKPJHAPncwB8tPgH4DQAqoNpCn1bBvFUUYE9VcweN6oiBAl,0,0,Foto,,,,,Total,7255,5256,159,136,19,4,2,917,374,543,,,,,,,
634246551829462,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te invitamos a seguir la transmisión en vivo del segundo informe de la dirección 2021-2022.",0,"12/14/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid034xvHNgQ9TSWV9adsmVJ1z7XNtG4rK2Sn6kZLDjM9Dg7HhL95wZnYs1HSPvarqKThl,0,0,Foto,,,,,Total,2373,1823,1,1,0,0,,15,4,11,,,,,,,
633565555230895,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La FIM se enorgullece en felicitar al alumno  PABLO JESÚS URIARTE DE LA CRUZ APROBADO CON MENCIÓN HONORÍFICA por la obtención del grado de Maestría en Ciencias, con el tema ""SISTEMA DE DETECCIÓN Y CLASIFICACIÓN DE DEFECTOS SUPERFICIALES EN MATERIALES METÁLICOS PARA APLICACIONES EN INGENIERÍA MEDIANTE VISIÓN POR COMPUTADORA"" área: Mecánica. 
DIRECTOR DE TESIS: DR. LIDIA ESTHER VARGAS OSUNA
¡Enhorabuena!",0,"12/13/2022 14:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02xds4LH6XNHiuL9ZSV1ERqbWQvzjCq82kzwPF5bBfjdhayh4sduP88fiL4mUCtvbMl,0,0,Foto,,,,,Total,6905,5409,90,83,5,2,3,938,229,709,,,,,,,
633561765231274,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La FIM se enorgullece en felicitar al alumno CARLOS FABIÁN GONZÁLEZ LEÓN por la obtención del grado de Maestría en Ingeniería, con el tema ""CARACTERIZACIÓN DE ESPUMA DE CARBONO DE DIFERENTES DENSIDADES EN ESTRUCTURAS COMPUESTAS "" área: Mecánica. 
DIRECTOR DE TESIS: DR. EMMANUEL SANTIAGO DURAZO ROMERO.

¡Enhorabuena!",0,"12/13/2022 14:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0jD64TWcvSH7uLdYr4uNgfp7Yihi4WYgfCo1xVhQajiUs9Fz5zu1f11eqgwJfSbvrl,0,0,Foto,,,,,Total,7047,5842,145,143,1,1,1,1328,363,965,,,,,,,
632549808665803,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Convocatoria PREDEPA 2023-2024",0,"12/12/2022 10:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02XUi27fiqG7fh3V7WR4LamVn7hbGJxiujfzS9bvqV1dAcsyt8tcDgWmryW5hpT692l,0,0,Foto,,,,,Total,3479,2819,6,6,0,0,,123,13,110,,,,,,,
628576669063117,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/07/2022 15:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02xkJmvEdE96kCMXpteJ8Bs3DJv6xDzeLh6zR7WUhoEN9dNvVTTV6mCX1NHTnaNqSGl,0,0,Foto,,,,,Total,7435,6267,294,287,4,3,1,1123,958,165,,,,,,,
628361825751268,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estudiantes de la Facultad de Ingeniería reciben beca por parte de Fundación UABC por su destacado desempeño. ¡Muchas felicidades por este reconocimiento y a los que se van de intercambio todo el éxito durante su estancia en el extranjero!",0,"12/07/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0AeBzuQN5C7NGzLpukR7qXcPRfBPPRiRiN7sJ5wDjxNYA6GUBjCAtDYHaNpqVKERxl,0,0,Foto,,,,,Total,8285,6809,488,375,108,5,,1664,733,931,,,,,,,
627799762474141,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Se solicitan 2 prestadores de servicio social profesional.

Nombre del programa:
DESARROLLO E IMPLEMENTACION DE SOFTWARE Y PAGINAS WEB PARA EL AREA DE MAESTRIA Y DOCTORADO EN CS. E INGENIERIA

Informes: Dra. Wendy Flores  (flores.wendy@uabc.edu.mx).",0,"12/06/2022 13:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Uhd9wxPRM44hyXqjXHzsGyM2HFyZMpcL87AkEW67FLwokSWuGtunXbxaDFLeAJpXl,0,0,Texto,,,,,Total,5381,4291,20,15,4,1,,258,258,,,,,,,,
627637869156997,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid0QhubTyCpUH6xXGSvtimRsYp6SywdDoeDC9ngEzLJPq6Ye4R3QR95V2VEcFtuV6anl&id=125018474267409&mibextid=Nif5oz,0,"12/06/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0ArRQLsFjLEb3tZtSHdMYgv6AP34FKfoqZi178Dqm4BYdy69ahaQms6VaXQkSrUmsl,0,1,Foto,,,,,Total,2894,2279,3,2,0,1,,75,43,25,7,,,,,,
627000105887440,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/05/2022 10:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0jCYPYVr3o1kZGQJQkE6Xx2nQdGrFtEhi7ncN1FKZW8uNkkYTBoDmUw2jApFBDPqEl,0,0,Foto,,,,,Total,4721,3471,19,13,4,2,1,203,110,93,,,,,,,
626934665893984,422553107793433,"Facultad de Ingeniería UABC Mexicali","Nombran a cimarrón como subsecretario de Infraestructura, comunicaciones y transportes","https://www.lavozdelafrontera.com.mx/local/nombran-a-cimarron-como-subsecretario-de-infraestructura-comunicaciones-y-transportes-9271741.html
La Facultad de Ingeniería felicita al Ing. Jesús Felipe Verdugo López, egresado de Ingeniería Civil de nuestra facultad por su reciente nombramiento como Subsecretario de Infraestructura, Comunicaciones y Transportes de nuestro país. Enhorabuena y mucho éxito.",0,"12/05/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02DK3npL3EMDFA6diTq2oqdZ3sT4pEi6FvoNbrAKELFHBogk1A9xARsgjgYBbz9dYyl,0,0,Enlace,,,,,Total,2277,1714,6,6,0,0,,11,5,,6,,,,,,
626932055894245,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,33,"12/05/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02BaaLdsgaFSm59FVByKt7aUgCh7sgbarywwtcsdi2vyKgpYi2MAvWms3YF4gPbegBl,0,0,Video,,,,,Total,2453,1730,14,13,0,1,,68,50,,,18,5429.025,2.914,0,0,0
624886306098820,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"En estos momentos se está llevando a cabo el ""Recolectra"" ♻️, por parte de Fundación Hélice y Facultad de Ingeniería, estamos en la calle Churubusco ♻️",0,"12/02/2022 12:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02h4NMpqp8oiXf7hKXMNX7u6B2mgu1HSnQCSe3rxX8vqkQYRPGxq1ChMcRQgcReduDl,0,0,Foto,,,,,Total,4662,3802,41,29,7,5,,364,76,288,,,,,,,
624781986109252,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día 01 de diciembre en el marco del cierre del semestre 2022-2 se invitó a la explanada a toda la comunidad de la FIM a participar en el baile y karaoke navideño en un ambiente de alegría y espíritu navideño que da pie al inicio de las festividades navideñas. Agradecemos a todos los que se sumaron a esta actividad.",0,"12/02/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02aLAK4i9PjowoErsvHiW3cMde7A8WiJRC7QkcGAe2viZf8HDjMoWtQKABTGchSQMBl,0,0,Foto,,,,,Total,8445,6421,63,56,3,4,1,1588,527,1061,,,,,,,
624778116109639,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"♻️En estos momentos se está llevando a cabo el “Recolectra”, por parte de fundación Hélice y Facultad de Ingeniería, estamos en la calle Churubusco♻️",7,"12/02/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0313eqkvo9X3B1Ey83TSzyjAyvJtWrGsHhheezxezzfE51xEq61uqMTGgjCEJCM6o4l,0,0,Video,,,,,Total,2425,1801,10,8,0,2,,67,34,,,33,4807.428,2.577,0,0,0
624777692776348,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"♻️En estos momentos se está llevando a cabo el “Recolectra”, por parte de fundación Hélice y Facultad de Ingeniería, estamos en la calle Churubusco♻️",0,"12/02/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0twV8nu6CFQSvd1mVYNKFtNrNWprKiB11DxTxdZFZKapkoCzqXM4sQvZU6qY6Vbjql,0,0,Foto,,,,,Total,4561,3583,17,15,0,2,,434,29,405,,,,,,,
624741889446595,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El Programa Educativo de Ingeniero Civil, de la Facultad de Ingeniería Campus Mexicali, los invita a presenciar la ponencia magistral de nombre ¿Hasta donde quieres llegar?, impartida por el Ing. Genaro Salinas Pacheco del American Concrete Institute, dentro del Ciclo de Conferencias ""Cimarrones en la Construcción"", en su edición 2022-2. La presentación se realizara en el aula magna de la FIM, el día viernes 2 de diciembre de 2022. Se estarán sellando carnets.",0,"12/02/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02qeuvL2BJp4epgLWgcKmsZYYC951Vcc97kjMpavjCuuYYUiGWn3vbP3PJ69JX2RCFl,0,0,Foto,,,,,Total,2365,1782,2,2,0,0,,23,2,21,,,,,,,
624203229500461,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención, fechas importantes:

Exámenes Ordinarios: del 5 al 13 de diciembre.
📝 Exámenes Extraordinarios: del 05 al 09 de enero.
💲 Pagos de extraordinario: del 06 al 14 de diciembre y del 02 al 04 de enero de 2023.

🖥 TUTORÍAS
Primera etapa: Del 3 AL 5 de enero
Segunda etapa: 16 y 17 de enero

📝Encuesta de seguimiento: hasta el 17 de enero. 

💻📚 REINSCRIPCIÓN por internet: 19 y 20 de enero ( 19 DE ENERO A PARTIR DE LAS 6:00 HRS HASTA VIERNES 20 DE ENERO A LAS 17:00 HRS)

✏ AJUSTES: del 24 al 26 de enero
💵 PAGOS DEL SEMESTRE 2023-1: del 13 al 23 de enero 2023. 

📓 Inicio de clases: 30 de enero",0,"12/01/2022 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0PbSpM5uXmXdeZjr9kQraDSzNgRrHsG4NyxiRELwBaj6cTWwjyNsh5tZPmKcrNUkEl,0,0,Texto,,,,,Total,4158,2888,31,23,3,5,,339,339,,,,,,,,
624159986171452,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy en punto de las 10:30 a.m. se realizó en la explanada de la Facultad de Ingeniería la ""Ceremonia de Reconocimientos como Candidato a Mérito Académico de la Facultad de Ingeniería"" teniendo como autoridades en el presidium al Dr. Jorge Eduardo Ibarra Consejero Técnico Suplente, MTIC. Dulce María Álvarez Sández, M.C. Mónica Cristina Lam Mora, Dra. Araceli Celina Justo López Directora de la Facultad de Ingeniería, Dra. Gabriela Jacobo Galicia Consejero Técnico Propietario, Juan Pablo Amaro Mar, Jonathan Obed Bonilla Heraldez, Damián Enrique Rodríguez Maldonado Alumnos Consejeros Técnicos Propietarios, también nos acompañaron miembros suplentes del consejo técnico, académicos, administrativos y alumnos de la FIM.  Después del mensaje de nuestra directora se hizo entrega de los reconocimientos a los siguientes académicos: Dr. Adolfo Heriberto Ruelas Puente del programa educativo computación, Dr. Miguel Ángel Martínez Romero del programa educativo Mecánica, Dr. David Isaías Rosas Almeida del programa educativo mecatrónica, Dr. Alejandro Adolfo Lambert Arista del programa educativo Energías Renovables, Dr. Maximiliano de las Fuentes Lara del programa educativo Tronco Común y Dr. Juan Pablo García Vázquez del programa educativo de Licenciados en Sistemas Computacionales.  Se hizo entrega de un reconocimiento más al docente que fue seleccionado por consejo técnico para representar a la Facultad de Ingeniería al Dr. Miguel Ángel Martínez Romero del programa educativo de Ingeniería Mecánica. ¡Muchas Felicidades a todos!",69,"12/01/2022 15:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02kLPquV3zAoTTUvdebYGVFER94m1q3CHXAEKGXECYrmhWZRxhuFYZ2eNQKnPame2Dl,0,0,Video,,,,,Total,3881,2580,53,47,2,4,,271,237,,,34,19414.037,5.828,0,0,0
624158869504897,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy en punto de las 10:30 a.m. se realizó en la explanada de la Facultad de Ingeniería la ""Ceremonia de Reconocimientos como Candidato a Mérito Académico de la Facultad de Ingeniería"" teniendo como autoridades en el presidium al Dr. Jorge Eduardo Ibarra Consejero Técnico Suplente, MTIC. Dulce María Álvarez Sández, M.C. Mónica Cristina Lam Mora, Dra. Araceli Celina Justo López Directora de la Facultad de Ingeniería, Dra. Gabriela Jacobo Galicia Consejero Técnico Propietario, Juan Pablo Amaro Mar, Jonathan Obed Bonilla Heraldez, Damián Enrique Rodríguez Maldonado Alumnos Consejeros Técnicos Propietarios, también nos acompañaron miembros suplentes del consejo técnico, académicos, administrativos y alumnos de la FIM.  Después del mensaje de nuestra directora se hizo entrega de los reconocimientos a los siguientes académicos: Dr. Adolfo Heriberto Ruelas Puente del programa educativo computación, Dr. Miguel Ángel Martínez Romero del programa educativo Mecánica, Dr. David Isaías Rosas Almeida del programa educativo mecatrónica, Dr. Alejandro Adolfo Lambert Arista del programa educativo Energías Renovables, Dr. Maximiliano de las Fuentes Lara del programa educativo Tronco Común y Dr. Juan Pablo García Vázquez del programa educativo de Licenciados en Sistemas Computacionales.  Se hizo entrega de un reconocimiento más al docente que fue seleccionado por consejo técnico para representar a la Facultad de Ingeniería al Dr. Miguel Ángel Martínez Romero del programa educativo de Ingeniería Mecánica. ¡Muchas Felicidades a todos!",0,"12/01/2022 15:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid03U6iz1BeGPhkMRYo68zMQD7DisveGaszqyoS63XuAyT3U2ubAvPPjpmQdtohfJiol,0,0,Foto,,,,,Total,6822,5085,35,32,2,1,,867,184,683,,,,,,,
624121502841967,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/01/2022 14:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02fsTTqiwFAUokoa4KYJnSHZs9Gak296T64mEQiPUhTa1owvZB4DMXpkVKcGNwcFThl,0,0,Foto,,,,,Total,2955,2528,20,17,0,3,,161,48,113,,,,,,,
